hotel;logo;
Hotel President Wilson Geneva - Switzerland - 12176;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/12176_logo.png;
Mandarin Oriental Du Rhone - Switzerland - 13149;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/13149_logo.png;
BEAU RIVAGE  GENEVA - Switzerland - 13080;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/13080_logo.png;
THE DOLDER GRAND - Switzerland - 58029;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/58029_logo.png;
Atlantis by Giardino - Switzerland - 270771;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/270771_logo.png;
WIDDER HOTEL - Switzerland - 20365;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/20365_logo.png;
BAUR AU LAC - Switzerland - 4754;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/4754_logo.png;
Park Hyatt Zurich - Switzerland - 56846;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/56846_logo.png;
Radisson Royal Hotel Moscow - Russia - 37275;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/37275_logo.png;
Metropol Moscow Hotel - Russia - 28297;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/28297_logo.png;
Four Seasons Hotel Moscow - Russia - 15983;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/15983_logo.png;
Lotte Hotel Moscow - Russia - 623;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/623_logo.png;
The Ritz-Carlton Moscow - Russia - 58377;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/58377_logo.png;
Marina Bay Sands  - Singapore - 84663;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/84663_logo.png;
Shangri La Singapore - Singapore - 243;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/243_logo.png;
Four Seasons Hotel Singapore - Singapore - 37726;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/37726_logo.png;
The Ritz-Carlton Hong Kong - Hong Kong - 134984;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/134984_logo.png;
THE PENINSULA HONG KONG - Hong Kong - 48294;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/48294_logo.png;
Four Seasons Hotel Hong Kong - Hong Kong - 28762;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/28762_logo.png;
The Landmark Mandarin Oriental - Hong Kong - 46079;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/46079_logo.png;
Aman Tokyo - Japan - 271125;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/271125_logo.png;
Palace Hotel Tokyo - Japan - 26189;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/26189_logo.png;
Mandarin Oriental Tokyo - Japan - 33056;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/33056_logo.png;
Shangri La Tokyo - Japan - 48732 ;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/48732_logo.png;
Hotel Mulia Senayan, Jakarta - Indonesia - 39556;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/39556_logo.png;
Mandarin Oriental Jakarta - Indonesia - 4747;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/4747_logo.png;
Indonesia Kempinski Jakarta - Indonesia - 70670;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/70670_logo.png;
The Ritz-Carlton Jakarta Pacific Place - Indonesia - 4638;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/4638_logo.png;
AYANA Midplaza ex InterCont - Indonesia - 43226;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/43226_logo.png;
W Retreat and Spa Bali Seminyak - Indonesia - 131293;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/131293_logo.png;
Alila Villas Uluwatu - Indonesia - 87599;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/87599_logo.png;
